# dirty words, add() ms, build() ms, search() avg ms, filter() avg ms
126200,7,699917,144978,194
126400,6,699066,142694,195.4
126600,8,684869,141915,194.4
126800,5,681019,143630,190.2
127000,6,689968,142120,193.4
127200,6,697571,142791,195.2
127400,8,706438,153130,194.8
127600,7,702496,145000,195.6
127800,12,696913,143411,196.2
128000,6,689372,144921,198
128200,6,703539,143818,194.6
128400,11,686538,141234,190
128600,6,698277,158666,198.2
128800,0,704214,145367,198.2
129000,6,694897,144861,190.6
129200,7,716737,150316,198.6
129400,5,719905,147216,189
129600,7,715366,146458,199.2
129800,5,719337,148222,186
130000,6,705680,149746,193
130200,5,725930,146115,196
130400,7,719981,151642,201
130600,8,726291,150108,202.2
130800,6,713260,150930,193.6
131000,6,721654,150456,192.6
131200,0,718395,149878,196
131400,6,710192,157172,196.6
131600,0,700612,147996,192.8
131800,6,730308,151037,203.4
132000,7,731619,148818,193.4
132200,6,740005,155766,199.8
132400,6,716706,149352,195
132600,7,719840,151814,223.6
132800,6,714814,153985,215.2
133000,7,732734,153688,196.4
133200,6,731940,161329,197.2
133400,7,715018,161702,205
133600,7,727462,165542,219
133800,6,737492,153953,194.4
134000,7,739023,160894,191.8
134200,6,727894,162062,198.4
134400,7,734892,155213,197.8
134600,7,743193,154318,191.6
134800,7,756428,154301,195.6
135000,7,743987,153002,191.4
135200,7,724172,149973,191.4
135400,7,751680,153156,194.4
135600,0,739171,152082,195.6
135800,7,754742,156130,196.2
136000,11,744184,154122,195
136200,8,746781,152826,194.8
136400,7,732958,154813,191.4
136600,7,727458,153710,200.6
136800,7,731092,160792,224.6
137000,7,757871,167488,209.2
137200,6,765358,164297,202.8
137400,6,752347,165926,205
137600,7,743462,153683,191.4
137800,6,730151,156640,201.2
138000,6,737114,153516,201.8
138200,6,758867,157908,197.8
138400,6,768006,156936,203.4
138600,6,743117,155412,198
138800,0,759374,163386,200
139000,6,772065,158610,219.6
139200,6,765949,161570,199
139400,0,758015,168372,203.6
